"empty_A","SHM III","empty_C","empty_D","empty_E","empty_F","empty_G","empty_H","empty_I","empty_J"
,"Silnice - v aglomeraci",,,,,,,,
,"Po?et hlukem ovlivn?ných obyvatel",,,,,,,,
,"Aglomerace","Po?et ovlivn?ných","Ldvn [dB]",,,,,,
,,,"50,0-54,9","55,0-59,9","60,0-64,9","65,0-69,9","70,0-74,9","?75",
1234005,"Praha","1244061","290237","411466","238265","122791","96623","7062",
409738,"Brno","414777","106175","122733","81476","43781","13888","372",
509290,"Ostrava","471956","120815","121878","82619","59673","14185","682",
180601,"Ústí n. L.-Teplice","170030","51757","54396","28663","15290","5179","398",
179403,"Plze?","177901","50387","43130","23661","19311","4242","2",
162189,"Liberec","147237","37588","48312","25493","14516","8752","375",
105320,"Olomouc","100331","34152","28517","14981","12061","2584","0",
2780546,,,,,,,,,
,"Po?et hlukem ovlivn?ných obyvatel",,,,,,,,
,"Aglomerace","Po?et ovlivn?ných","Ln [dB]",,,,,,
,,,"40,0-44,9","45,0-49,9","50,0-54,9","55,0-59,9","60,0-64,9","65,0-69,9","?70"
1234005,"Praha","1244061","266963","408327","255216","130712","107688","16479","422"
409738,"Brno","414777","90682","131220","89021","47717","19163","2091","2"
509290,"Ostrava","471656","108421","127775","90649","65153","19971","1611","0"
180601,"Ústí n. L.-Teplice","170030","41792","58781","35994","17902","8068","564","97"
179403,"Plze?","177901","54026","50120","25718","19502","6827","49","0"
162189,"Liberec","147237","31000","52160","28601","16132","10861","965","0"
105320,"Olomouc","100331","28716","33561","17368","12665","4772","144","0"
2780546,,,,,,,,,
